g1entrynr,g2entrynr,g1chr,g2chr,g1concatstart,g1concatstop,g1start,g1stop,g2concatstart,g2concatstop,g2start,g2stop,Distance
1931936,1977485,A01,D01,98961918,98965749,98961918,98965749,1220671557,1220676114,60565500,60570057,5.21999979
1931941,1934298,A01,D01,98499603,98501634,98499603,98501634,1220150841,1220152230,60044784,60046173,3.00999999
1931977,1941311,A01,D01,34383729,34385792,34383729,34385792,1183074937,1183077012,22968880,22970955,3.359999895
1931987,1961307,A01,D01,99877917,99884232,99877917,99884232,1221530170,1221537383,61424113,61431326,0.860000014
1932055,1975666,A01,D01,77169953,77171490,77169953,77171490,1209798819,1209800357,49692762,49694300,1.899999976
1932092,1935566,A01,D01,93551220,93552863,93551220,93552863,1216508147,1216509770,56402090,56403713,2.420000076
1932099,1959609,A01,D01,17119718,17126266,17119718,17126266,1172973925,1172975462,12867868,12869405,2.369999886
1932179,1988060,A01,D01,236337,238130,236337,238130,1160326274,1160328186,220217,222129,3.75
1932213,1933162,A01,D01,1643804,1646568,1643804,1646568,1161891560,1161894258,1785503,1788201,0.709999979
1932241,1949141,A01,D01,4728128,4728416,4728128,4728416,1164402457,1164402745,4296400,4296688,3.00999999
1932259,1939446,A01,D01,31950865,31963226,31950865,31963226,1181390188,1181397721,21284131,21291664,1.49000001
1932272,1971921,A01,D01,32645195,32648784,32645195,32648784,1181721745,1181725305,21615688,21619248,0.610000014
1932283,1970196,A01,D01,13807552,13810270,13807552,13810270,1170726251,1170728362,10620194,10622305,2.319999933
1932288,1996495,A01,D01,93725100,93726944,93725100,93726944,1216436593,1216438426,56330536,56332369,0.050000001
1932438,1999795,A01,D01,45997622,45999123,45997622,45999123,1188334434,1188335938,28228377,28229881,1.399999976
1932485,1972370,A01,D01,98279619,98286185,98279619,98286185,1219923382,1219929918,59817325,59823861,2.420000076
1932523,1965449,A01,D01,7847931,7852415,7847931,7852415,1166381790,1166386266,6275733,6280209,3.75
1932636,1971607,A01,D01,82219652,82220609,82219652,82220609,1207568840,1207570046,47462783,47463989,3.289999962
1932667,1998180,A01,D01,18461865,18463408,18461865,18463408,1173809528,1173811077,13703471,13705020,0.319999993
1932710,1962843,A01,D01,75119994,75122821,75119994,75122821,1205134100,1205136947,45028043,45030890,2.319999933
1932712,1992430,A01,D01,19073555,19075910,19073555,19075910,1174195997,1174198345,14089940,14092288,2.220000029
1932721,1983890,A01,D01,97758213,97762759,97758213,97762759,1219495873,1219500434,59389816,59394377,0.550000012
1932761,1995405,A01,D01,97777216,97778530,97777216,97778530,1219515319,1219516636,59409262,59410579,4.380000114
1932808,1975782,A01,D01,7312048,7320618,7312048,7320618,1165689062,1165693284,5583005,5587227,1.559999943
1932818,1964174,A01,D01,97871800,97875519,97871800,97875519,1219614768,1219617593,59508711,59511536,1.429999948
1932832,1936465,A01,D01,33322704,33329372,33322704,33329372,1182311502,1182316149,22205445,22210092,2.579999924
1932877,1971804,A01,D01,32828704,32830597,32828704,32830597,1181819543,1181821526,21713486,21715469,4.579999924
1932892,1971056,A01,D01,7599786,7600563,7599786,7600563,1166068021,1166068798,5961964,5962741,1.940000057
1932897,1990076,A01,D01,93956141,93958458,93956141,93958458,1216287772,1216290079,56181715,56184022,3.359999895
1932926,1990147,A01,D01,14284567,14289868,14284567,14289868,1171052744,1171057993,10946687,10951936,0.899999976
1932932,1986745,A01,D01,32341381,32348993,32341381,32348993,1181586134,1181593835,21480077,21487778,0.939999998
1933010,1933477,A01,D01,6755214,6758394,6755214,6758394,1165274719,1165277897,5168662,5171840,1.429999948
1933083,1972482,A01,D01,11085675,11087868,11085675,11087868,1168997106,1168999242,8891049,8893185,1.940000057
1933102,1955229,A01,D01,3310805,3312464,3310805,3312464,1163140969,1163142646,3034912,3036589,3.079999924
1933110,1939811,A01,D01,49983475,49989894,49983475,49989894,1191323903,1191329718,31217846,31223661,2.819999933
1933136,1971109,A01,D01,852740,858930,852740,858930,1160863161,1160869811,757104,763754,1.370000005
1933147,1946581,A01,D01,91277644,91278838,91277644,91278838,1214855067,1214856105,54749010,54750048,2.700000048
1933179,1974067,A01,D01,90287573,90288992,90287573,90288992,1213977656,1213979178,53871599,53873121,0.340000004
1933216,1955758,A01,D01,92963787,92966734,92963787,92966734,1216892953,1216895987,56786896,56789930,0.939999998
1933272,1970603,A01,D01,1804031,1804751,1804031,1804751,1162052869,1162053589,1946812,1947532,4.78000021
1933296,1966547,A01,D01,49998953,50002736,49998953,50002736,1191343572,1191347326,31237515,31241269,3.839999914
1933439,1964997,A01,D01,89849045,89854168,89849045,89854168,1213596018,1213640415,53489961,53534358,1.74000001
1933459,1996165,A01,D01,26595076,26596810,26595076,26596810,1179049446,1179051182,18943389,18945125,0.899999976
1933479,1983164,A01,D01,98914448,98916321,98914448,98916321,1220638870,1220640758,60532813,60534701,3.519999981
1933632,1938735,A01,D01,11233697,11236871,11233697,11236871,1169136051,1169139194,9029994,9033137,2.470000029
1933719,1987006,A01,D01,27348276,27349602,27348276,27349602,1179461479,1179462805,19355422,19356748,1.429999948
1933942,1981418,A01,D01,14322444,14328059,14322444,14328059,1171089335,1171094980,10983278,10988923,0.810000002
1934055,1980213,A01,D01,11604781,11605246,11604781,11605246,1169359838,1169360291,9253781,9254234,4.010000229
1934064,1965909,A01,D01,2647020,2655538,2647020,2655538,1162694066,1162699207,2588009,2593150,2.75999999
1934097,1951138,A01,D01,3995084,3996961,3995084,3996961,1163796702,1163798543,3690645,3692486,5.829999924
1934115,1944858,A01,D01,41423151,41423595,41423151,41423595,1183514231,1183514681,23408174,23408624,4.480000019
1934142,1999304,A01,D01,64362397,64367803,64362397,64367803,1200871887,1200876926,40765830,40770869,2.25999999
1934163,1973245,A01,D01,96165241,96168888,96165241,96168888,1218322078,1218325647,58216021,58219590,1.370000005
1934164,1938017,A01,D01,26043812,26047183,26043812,26047183,1178797225,1178800609,18691168,18694552,1.399999976
1934185,1937864,A01,D01,943512,944820,943512,944820,1160993919,1160995227,887862,889170,1.370000005
1934193,1967322,A01,D01,97749561,97751672,97749561,97751672,1219486061,1219488172,59380004,59382115,0.899999976
1934197,1993498,A01,D01,96112397,96118958,96112397,96118958,1218256131,1218262694,58150074,58156637,1.370000005
1934228,1977370,A01,D01,18496910,18500432,18496910,18500432,1173845261,1173850671,13739204,13744614,1.700000048
1934303,1950048,A01,D01,13810927,13812922,13810927,13812922,1170728958,1170730979,10622901,10624922,0.920000017
1934482,1968429,A01,D01,440775,446847,440775,446847,1160498444,1160500547,392387,394490,2.640000105
1934491,1951005,A01,D01,95579251,95583529,95579251,95583529,1217841884,1217846401,57735827,57740344,0.050000001
1934495,1973485,A01,D01,20756016,20764183,20756016,20764183,1175427223,1175431272,15321166,15325215,0.050000001
1934662,1956991,A01,D01,97062787,97064622,97062787,97064622,1219025355,1219027106,58919298,58921049,1.700000048
1934711,1947047,A01,D01,14236027,14239424,14236027,14239424,1171035534,1171038937,10929477,10932880,1.25
1934739,1994696,A01,D01,26135041,26135878,26135041,26135878,1178849450,1178850284,18743393,18744227,3.359999895
1934748,1946701,A01,D01,89891866,89896026,89891866,89896026,1213645314,1213649458,53539257,53543401,3.079999924
1934828,1964891,A01,D01,6172367,6175298,6172367,6175298,1163590959,1163593014,3484902,3486957,NA
1934877,1987373,A01,D01,18652703,18658004,18652703,18658004,1173920168,1173925507,13814111,13819450,1.370000005
1934942,1938027,A01,D01,76901282,76903938,76901282,76903938,1206000836,1206011503,45894779,45905446,5.340000153
1934962,1972428,A01,D01,99598279,99606701,99598279,99606701,1221235770,1221244325,61129713,61138268,3.220000029
1935045,1937811,A01,D01,89376842,89377709,89376842,89377709,1213138647,1213139514,53032590,53033457,NA
1935045,1967768,A01,D01,89376842,89377709,89376842,89377709,1213210943,1213211810,53104886,53105753,6.090000153
1935085,1933043,A01,D01,93056723,93059814,93056723,93059814,1216846266,1216849415,56740209,56743358,2.420000076
1935100,1978613,A01,D01,99356416,99360388,99356416,99360388,1221008650,1221012657,60902593,60906600,2.700000048
1935109,1961949,A01,D01,6324017,6325847,6324017,6325847,1164915382,1164917212,4809325,4811155,0.680000007
1935188,1971227,A01,D01,13417718,13419665,13417718,13419665,1170422212,1170424163,10316155,10318106,4.099999905
1935192,1935436,A01,D01,99110988,99116140,99110988,99116140,1220824869,1220830199,60718812,60724142,3.359999895
1935238,1960909,A01,D01,403188,407948,403188,407948,1160458008,1160462112,351951,356055,0.810000002
1935257,1931045,A01,D01,7172901,7175704,7172901,7175704,1165567289,1165570158,5461232,5464101,3.670000076
1935364,1980494,A01,D01,124018,124426,124018,124426,1160207218,1160207626,101161,101569,4.579999924
1935451,1972511,A01,D01,63636870,63640884,63636870,63640884,1200519442,1200596980,40413385,40490923,1.590000033
1935498,1996444,A01,D01,14103941,14105839,14103941,14105839,1170937126,1170939021,10831069,10832964,1.860000014
1935556,1958045,A01,D01,94986968,94994467,94986968,94994467,1217348738,1217356264,57242681,57250207,0.980000019
1935569,1938314,A01,D01,8603430,8607035,8603430,8607035,1166976119,1166979489,6870062,6873432,3.839999914
1935616,1944718,A01,D01,81818858,81823809,81818858,81823809,1207849689,1207854623,47743632,47748566,1.309999943
1935671,1935312,A01,D01,87963057,87964182,87963057,87964182,1212010167,1212010551,51904110,51904494,0.050000001
1935683,1941309,A01,D01,99872067,99873140,99872067,99873140,1221524285,1221525358,61418228,61419301,1.559999943
1935686,1972417,A01,D01,96120384,96122279,96120384,96122279,1218263787,1218265979,58157730,58159922,0.879999995
1935688,1952501,A01,D01,823654,830447,823654,830447,1160833590,1160837024,727533,730967,2.170000076
1935845,1939811,A01,D01,97034561,97036166,97034561,97036166,1191323903,1191329718,31217846,31223661,NA
1935845,1998774,A01,D01,97034561,97036166,97034561,97036166,1218995953,1218997554,58889896,58891497,1.399999976
1935868,1967875,A01,D01,625495,630346,625495,630346,1160643805,1160648638,537748,542581,3.920000076
1936072,1984702,A01,D01,2319582,2322792,2319582,2322792,1162183387,1162187011,2077330,2080954,0.899999976
1936126,1938057,A01,D01,14036947,14040703,14036947,14040703,1170908555,1170910869,10802498,10804812,1.99000001
1936168,1956060,A01,D01,19777307,19783204,19777307,19783204,1174835987,1174841876,14729930,14735819,1.820000052
1936183,1941987,A01,D01,99083857,99088394,99083857,99088394,1220799479,1220804006,60693422,60697949,2.819999933
1936268,1967498,A01,D01,92949678,92961931,92949678,92961931,1216897795,1216910041,56791738,56803984,0.860000014
1936372,1977417,A01,D01,99261366,99263562,99261366,99263562,1220911519,1220914723,60805462,60808666,6.360000134
1936380,1962518,A01,D01,99873684,99876320,99873684,99876320,1221525902,1221528538,61419845,61422481,0.150000006
1936407,1938366,A01,D01,95013629,95018862,95013629,95018862,1217375667,1217381041,57269610,57274984,2.029999971
1936421,1963723,A01,D01,11629974,11630400,11629974,11630400,1169401967,1169402393,9295910,9296336,0.74000001
1936426,1980707,A01,D01,64340742,64342494,64340742,64342494,1200854010,1200855762,40747953,40749705,3.289999962
1936428,1970969,A01,D01,92485780,92487513,92485780,92487513,1215639318,1215641051,55533261,55534994,1.590000033
1936464,1944742,A01,D01,18955425,18958223,18955425,18958223,1174133410,1174136141,14027353,14030084,3.359999895
1936525,1973671,A01,D01,99834424,99834934,99834424,99834934,1221489168,1221489678,61383111,61383621,2.319999933
1936553,1949546,A01,D01,78739179,78741743,78739179,78741743,1208975117,1208979356,48869060,48873299,5.960000038
1936568,1989775,A01,D01,8184715,8185841,8184715,8185841,1166630549,1166631685,6524492,6525628,3.519999981
1936651,1942825,A01,D01,97003000,97003840,97003000,97003840,1218950248,1218951088,58844191,58845031,2.170000076
1936796,1974328,A01,D01,7327188,7329537,7327188,7329537,1165705180,1165707957,5599123,5601900,3.289999962
1936829,1984127,A01,D01,95476592,95478105,95476592,95478105,1217757988,1217759317,57651931,57653260,4.679999828
1936912,1931587,A01,D01,57723560,57723872,57723560,57723872,1194483103,1194483352,34377046,34377295,2.579999924
1936932,1937953,A01,D01,27203148,27204753,27203148,27204753,1179332983,1179334588,19226926,19228531,2.880000114
1936933,1938829,A01,D01,32881412,32882614,32881412,32882614,1181882704,1181883894,21776647,21777837,1.220000029
1937133,1981914,A01,D01,6693690,6694638,6693690,6694638,1165227131,1165228031,5121074,5121974,3.440000057
1937198,1934059,A01,D01,694909,695695,694909,695695,1160712122,1160712863,606065,606806,1.669999957
1937278,1954268,A01,D01,18753326,18756621,18753326,18756621,1173991234,1174011624,13885177,13905567,0.839999974
1937285,1934759,A01,D01,10877126,10881131,10877126,10881131,1168778253,1168782244,8672196,8676187,4.010000229
1937310,1934656,A01,D01,8539238,8539580,8539238,8539580,1166928351,1166928693,6822294,6822636,0.050000001
1937401,1966791,A01,D01,8127531,8129797,8127531,8129797,1166598191,1166600505,6492134,6494448,5.21999979
1937410,1953844,A01,D01,7075586,7077148,7075586,7077148,1165501243,1165502811,5395186,5396754,0.050000001
1937422,1938486,A01,D01,95432945,95433884,95432945,95433884,1217718869,1217719808,57612812,57613751,0.050000001
1937521,1931047,A01,D01,54174726,54181911,54174726,54181911,1192292622,1192300414,32186565,32194357,1.779999971
1937561,1941861,A01,D01,18090601,18092570,18090601,18092570,1173499407,1173501332,13393350,13395275,1.779999971
1937661,1963708,A01,D01,77041390,77042040,77041390,77042040,1206061687,1206062337,45955630,45956280,2.579999924
1937665,1976666,A01,D01,1836755,1845330,1836755,1845330,1162104788,1162113222,1998731,2007165,2.069999933
1937683,1961890,A01,D01,98117590,98118607,98117590,98118607,1219793902,1219794931,59687845,59688874,5.579999924
1937796,1937102,A01,D01,21801559,21801880,21801559,21801880,1176232788,1176233109,16126731,16127052,1.860000014
1937817,1932972,A01,D01,99684861,99689323,99684861,99689323,1221355066,1221358833,61249009,61252776,2.579999924
1937836,1970848,A01,D01,97052100,97054182,97052100,97054182,1219014696,1219016784,58908639,58910727,3.150000095
1937839,1971755,A01,D01,8069849,8072369,8069849,8072369,1166499731,1166502251,6393674,6396194,1.169999957
1937872,1965900,A01,D01,540245,543091,540245,543091,1160558711,1160561098,452654,455041,3.589999914
1937887,1957664,A01,D01,86696412,86697380,86696412,86697380,1211168628,1211169617,51062571,51063560,3.839999914
1938019,1978788,A01,D01,96181758,96183078,96181758,96183078,1218336875,1218338201,58230818,58232144,5.960000038
1938034,1960736,A01,D01,94335796,94338850,94335796,94338850,1216072887,1216076167,55966830,55970110,3.359999895
1938047,1933748,A01,D01,99063332,99073355,99063332,99073355,1220774529,1220784591,60668472,60678534,3.75
1938066,1952725,A01,D01,95979811,95983421,95979811,95983421,1218192575,1218196175,58086518,58090118,4.010000229
1938155,1985180,A01,D01,9996973,9999674,9996973,9999674,1168011020,1168019336,7904963,7913279,0.550000012
1938199,1942945,A01,D01,95438816,95440634,95438816,95440634,1217724433,1217726247,57618376,57620190,2.220000029
1938212,1939929,A01,D01,21858922,21862866,21858922,21862866,1176257088,1176261025,16151031,16154968,4.099999905
1938347,1954882,A01,D01,83066728,83070240,83066728,83070240,1207059487,1207063764,46953430,46957707,2.470000029
1938380,1932231,A01,D01,4387435,4391234,4387435,4391234,1164112974,1164116769,4006917,4010712,1.559999943
1938386,1995794,A01,D01,97006940,97010976,97006940,97010976,1218954181,1218958160,58848124,58852103,1.99000001
1938467,1964412,A01,D01,66681475,66682808,66681475,66682808,1201483930,1201485262,41377873,41379205,2.069999933
1938726,1932478,A01,D01,4750917,4751211,4750917,4751211,1164432465,1164432747,4326408,4326690,5.110000134
1938751,1978418,A01,D01,86641484,86644979,86641484,86644979,1211137475,1211140927,51031418,51034870,0.860000014
1938760,1938334,A01,D01,95218789,95219032,95218789,95219032,1217535263,1217535500,57429206,57429443,5.829999924
1938819,1970170,A01,D01,49990654,49993114,49990654,49993114,1191330476,1191332944,31224419,31226887,2.75999999
1938834,1930317,A01,D01,82734323,82737096,82734323,82737096,1206882312,1206885091,46776255,46779034,1.399999976
1938883,1936885,A01,D01,36501346,36507005,36501346,36507005,1184091193,1184096425,23985136,23990368,5.110000134
1938916,1992016,A01,D01,82022963,82024715,82022963,82024715,1207658040,1207659791,47551983,47553734,0.400000006
1938922,1970565,A01,D01,98145868,98149529,98145868,98149529,1219817118,1219820795,59711061,59714738,2.220000029
1938970,1998786,A01,D01,99813205,99813976,99813205,99813976,1221468282,1221469053,61362225,61362996,2.369999886
1938991,1954133,A01,D01,11648875,11650432,11648875,11650432,1169431397,1169432951,9325340,9326894,1.309999943
1939014,1998803,A01,D01,17326860,17337930,17326860,17337930,1173071645,1173082791,12965588,12976734,4.28000021
1939036,1995783,A01,D01,24028603,24031674,24028603,24031674,1177526582,1177529671,17420525,17423614,0.720000029
1939148,1972179,A01,D01,90213304,90215123,90213304,90215123,1213863135,1213864954,53757078,53758897,2.579999924
1939204,1974431,A01,D01,96710577,96712215,96710577,96712215,1218768060,1218769698,58662003,58663641,3.079999924
1939225,1949407,A01,D01,91143384,91145230,91143384,91145230,1214755400,1214756973,54649343,54650916,3.839999914
1939227,1985355,A01,D01,19326731,19329911,19326731,19329911,1174363801,1174367059,14257744,14261002,1.779999971
1939255,1967478,A01,D01,9808480,9811958,9808480,9811958,1167803591,1167807075,7697534,7701018,1.149999976
1939266,1960237,A01,D01,28515572,28519341,28515572,28519341,1179967485,1179971263,19861428,19865206,1.629999995
1939280,1932266,A01,D01,1178669,1178861,1178669,1178861,1161418174,1161418366,1312117,1312309,6.21999979
1939362,1944876,A01,D01,93574683,93638199,93574683,93638199,1216488554,1216490827,56382497,56384770,2.579999924
1939390,1941639,A01,D01,97957195,97964822,97957195,97964822,1219680943,1219688569,59574886,59582512,2.319999933
1939455,1932514,A01,D01,12332875,12333148,12332875,12333148,1170047061,1170047334,9941004,9941277,3.150000095
1939456,1994061,A01,D01,7484648,7485215,7484648,7485215,1165790841,1165791396,5684784,5685339,4.28000021
1939470,1944157,A01,D01,12136759,12138313,12136759,12138313,1169859519,1169861077,9753462,9755020,1.340000033
1939511,1993682,A01,D01,96979647,96983443,96979647,96983443,1218925036,1218928514,58818979,58822457,0.540000021
1939641,1964911,A01,D01,6636652,6639683,6636652,6639683,1165167511,1165170561,5061454,5064504,2.420000076
1939649,1930719,A01,D01,11544982,11558549,11544982,11558549,1169326160,1169335120,9220103,9229063,2.319999933
1939767,1982774,A01,D01,95648409,95659464,95648409,95659464,1217886512,1217897277,57780455,57791220,1.940000057
1939809,1991747,A01,D01,68020501,68024914,68020501,68024914,1201767763,1201768787,41661706,41662730,4.190000057
1939893,1936682,A01,D01,40967033,40967279,40967033,40967279,1186912599,1186912845,26806542,26806788,5
1939921,1953789,A01,D01,47156795,47164214,47156795,47164214,1188989627,1188997044,28883570,28890987,3.670000076
1939937,1947562,A01,D01,22278149,22280799,22278149,22280799,1176563640,1176566272,16457583,16460215,2.420000076
1940161,1959992,A01,D01,61519539,61521248,61519539,61521248,1200016917,1200018624,39910860,39912567,1.149999976
1940197,1972099,A01,D01,10400730,10401975,10400730,10401975,1168284831,1168286080,8178774,8180023,1.899999976
1940394,1990922,A01,D01,8305113,8305365,8305113,8305365,1166783192,1166783444,6677135,6677387,4.78000021
1940405,1933469,A01,D01,98366725,98367857,98366725,98367857,1219996110,1219997241,59890053,59891184,NA
1940405,1973204,A01,D01,98366725,98367857,98366725,98367857,1220004667,1220005798,59898610,59899741,2.579999924
1940430,1938077,A01,D01,77964504,77965110,77964504,77965110,1209306159,1209306765,49200102,49200708,0.479999989
1940473,1943607,A01,D01,24884776,24891357,24884776,24891357,1178022563,1178034051,17916506,17927994,0.810000002
1940509,1955678,A01,D01,914346,916292,914346,916292,1160929472,1160931434,823415,825377,1.100000024
1940518,1934396,A01,D01,11188122,11189256,11188122,11189256,1169094522,1169095656,8988465,8989599,1.820000052
1940836,1979382,A01,D01,97415943,97418706,97415943,97418706,1219258629,1219261374,59152572,59155317,1.820000052
1940851,1977405,A01,D01,90340311,90341927,90340311,90341927,1214055640,1214057185,53949583,53951128,0.920000017
1940987,1995941,A01,D01,88818897,88820721,88818897,88820721,1212653744,1212655582,52547687,52549525,3.00999999
1941088,1989124,A01,D01,39295705,39303696,39295705,39303696,1185791909,1185802292,25685852,25696235,2.950000048
1941104,1967369,A01,D01,91364390,91364765,91364390,91364765,1214918164,1214918539,54812107,54812482,6.5
1941107,1984456,A01,D01,13445191,13446584,13445191,13446584,1170447800,1170449198,10341743,10343141,3.150000095
1941120,1991718,A01,D01,25472150,25475170,25472150,25475170,1178303389,1178306367,18197332,18200310,0.959999979
1941154,1998934,A01,D01,3057627,3062335,3057627,3062335,1162872674,1162877357,2766617,2771300,3.150000095
1941255,1949036,A01,D01,95077431,95079055,95077431,95079055,1217406358,1217407982,57300301,57301925,1.370000005
1941277,1967209,A01,D01,81846978,81854570,81846978,81854570,1207805084,1207823700,47699027,47717643,1.460000038
1941384,1939067,A01,D01,7785891,7786520,7785891,7786520,1166333339,1166333966,6227282,6227909,2.75999999
1941395,1961551,A01,D01,97849306,97853490,97849306,97853490,1219592003,1219596226,59485946,59490169,2.170000076
1941398,1974248,A01,D01,7711891,7716263,7711891,7716263,1166271836,1166276232,6165779,6170175,2.420000076
1941421,1962477,A01,D01,76472898,76477501,76472898,76477501,1205859959,1205864566,45753902,45758509,1.100000024
1941422,1948256,A01,D01,14215542,14215824,14215542,14215824,1171015577,1171015859,10909520,10909802,1.049999952
1941453,1997528,A01,D01,77032637,77038863,77032637,77038863,1206052899,1206059121,45946842,45953064,3.220000029
1941498,1958013,A01,D01,55551,59030,55551,59030,1160140349,1160143864,34292,37807,0.769999981
1941500,1942824,A01,D01,99141145,99142627,99141145,99142627,1220843216,1220844698,60737159,60738641,2.220000029
1941509,1962506,A01,D01,12207760,12209591,12207760,12209591,1169931041,1169932872,9824984,9826815,4.010000229
1941559,1992010,A01,D01,2402138,2406022,2402138,2406022,1162258403,1162261740,2152346,2155683,2.880000114
1941585,1994083,A01,D01,49979271,49979745,49979271,49979745,1191319740,1191320214,31213683,31214157,2.529999971
1941609,1949830,A01,D01,90225271,90228009,90225271,90228009,1213871365,1213874096,53765308,53768039,4.28000021
1941643,1941601,A01,D01,91059923,91061434,91059923,91061434,1214718946,1214720462,54612889,54614405,1.74000001
1941667,1992560,A01,D01,40044434,40057954,40044434,40057954,1186322944,1186330358,26216887,26224301,1.429999948
1941676,1945654,A01,D01,4581363,4591261,4581363,4591261,1164304162,1164313721,4198105,4207664,2.069999933
1941805,1932696,A01,D01,26261495,26263665,26261495,26263665,1178915841,1178918010,18809784,18811953,0.360000014
1941821,1952185,A01,D01,93701734,93708842,93701734,93708842,1216446179,1216458900,56340122,56352843,5.460000038
1941865,1940105,A01,D01,12045185,12049813,12045185,12049813,1169764479,1169769142,9658422,9663085,0.569999993
1941899,1995531,A01,D01,11738814,11739477,11738814,11739477,1169511565,1169512213,9405508,9406156,5.460000038
1941917,1969905,A01,D01,96920697,96929202,96920697,96929202,1218869454,1218882298,58763397,58776241,2.369999886
1941962,1951171,A01,D01,24768614,24772247,24768614,24772247,1177950946,1177954570,17844889,17848513,2.75999999
1941977,1985195,A01,D01,94472705,94480816,94472705,94480816,1215954707,1215962686,55848650,55856629,2.640000105
1941995,1991035,A01,D01,91449873,91450950,91449873,91450950,1214948053,1214949133,54841996,54843076,2.170000076
1942081,1955416,A01,D01,98798591,98806674,98798591,98806674,1220553657,1220561816,60447600,60455759,2.369999886
1942097,1981837,A01,D01,14045677,14049352,14045677,14049352,1170915715,1170919523,10809658,10813466,1.559999943
